"B01-leaves-ITS"	"B02-leaves-ITS-D"	"B03-leaves-ITS"	"B04-leaves-ITS"	"B05-leaves-ITS"	"B06-leaves-ITS"	"B07-leaves-ITS"	"B08-leaves-ITS"	"B09-leaves-ITS"	"B10-leaves-ITS"	"B11-leaves-ITS"	"B12-leaves-ITS"	"B13-leaves-ITS"	"B14-leaves-ITS"	"B15-leaves-ITS"	"B16-leaves-ITS"	"B17-leaves-ITS"	"B18-leaves-ITS"	"U01-leaves-ITS"	"U02-leaves-ITS"	"U03-leaves-ITS"	"U04-leaves-ITS"	"U05-leaves-ITS"	"U06-leaves-ITS"	"U07-leaves-ITS"	"U08-leaves-ITS"	"U09-leaves-ITS"	"B-unk-stem-ITS_redo"	"B-unk-stem2-ITS_redo"	"B01-stem-ITS"	"B02-stem-ITS_redo"	"B03-stem-ITS_redo"	"B05-stem-ITS"	"B06-stem-ITS"	"B07-stem-ITS"	"B08-stem-ITS_redo"	"B09-stem-ITS_redo"	"B10-stem-ITS_redo"	"B12-stem-ITS"	"B13-stem-ITS"	"B14-stem-ITS_redo"	"B15-stem-ITS_redo"	"B16-stem-ITS_redo"	"B17-stem-ITS"	"B18-stem-ITS"	"U01-stem-ITS"	"U02-stem-ITS"	"U03-stem-ITS_redo"	"U04-stem-ITS"	"U05-stem-ITS"	"U06-stem-ITS_redo"	"U07-stem-ITS_redo"	"U08-stem-ITS_redo"	"U09-stem-ITS"	"B01-fine-ITS"	"B02-fine-ITS"	"B03-fine-ITS"	"B04-fine-ITS"	"B05-fine-ITS"	"B06-fine-ITS"	"B07-fine-ITS_redo"	"B08-fine-ITS-2"	"B09-fine-ITS"	"B10-fine-ITS"	"B11-fine-ITS"	"B12-fine-ITS"	"B13-fine-ITS"	"B14-fine-ITS"	"B15-fine-ITS"	"B16-fine-ITS"	"B17-fine-ITS"	"B18-fine-ITS"	"U01-fine-ITS"	"U02-fine-ITS"	"U03-fine-ITS"	"U04-fine-ITS"	"U05-fine-ITS"	"U06-fine-ITS"	"U07-fine-ITS"	"U08-fine-ITS"	"B01-coarse-ITS"	"B02-coarse-ITS"	"B03-coarse-ITS"	"B04-coarse-ITS"	"B05-coarse-ITS"	"B06-coarse-ITS"	"B07-coarse-ITS"	"B08-coarse-ITS"	"B09-coarse-ITS"	"B10-coarse-ITS"	"B11-coarse-ITS_redo"	"B12-coarse-ITS"	"B13-coarse-ITS_redo"	"B14-coarse-ITS"	"B15-coarse-ITS_redo"	"B16-coarse-ITS"	"B17-coarse-ITS"	"B18-coarse-ITS-D"	"U01-coarse-ITS"	"U02-coarse-ITS"	"U03-coarse-ITS"	"U04-coarse-ITS"	"U05-coarse-ITS"	"U06-coarse-ITS"	"U07-coarse-ITS"	"U08-coarse-ITS"	"U09-coarse-ITS"	"B01-rhizo-ITS"	"B02-rhizo-ITS"	"B03-rhizo-ITS"	"B04-rhizo-ITS"	"B05-rhizo-ITS"	"B06-rhizo-ITS"	"B07-rhizo-ITS"	"B08-rhizo-ITS"	"B09-rhizo-ITS"	"B10-rhizo-ITS"	"B11-rhizo-ITS"	"B12-rhizo-ITS"	"B13-rhizo-ITS"	"B14-rhizo-ITS"	"B15-rhizo-ITS"	"B16-rhizo-ITS"	"B17-rhizo-ITS"	"B18-rhizo-ITS"	"U01-rhizo-ITS"	"U02-rhizo-ITS"	"U03-rhizo-ITS"	"U04-rhizo-ITS"	"U05-rhizo-ITS"	"U06-rhizo-ITS"	"U07-rhizo-ITS"	"U08-rhizo-ITS"	"U09-rhizo-ITS"	"B01-soil-ITS"	"B02-soil-ITS"	"B03-soil-ITS"	"B04-soil-ITS-B"	"B05-soil-ITS"	"B06-soil-ITS"	"B07-soil-ITS"	"B08-soil-ITS"	"B09-soil-ITS"	"B10-soil-ITS"	"B11-soil-ITS"	"B12-soil-ITS"	"B13-soil-ITS"	"B14-soil-ITS"	"B15-soil-ITS"	"B16-soil-ITS"	"B17-soil-ITS"	"B18-soil-ITS"	"U01-soil-ITS"	"U02-soil-ITS"	"U03-soil-ITS"	"U04-soil-ITS"	"U05-soil-ITS"	"U06-soil-ITS"	"U07-soil-ITS"	"U08-soil-ITS"	"U09-soil-ITS"
"01214765ea0a6b3bd7d64290302f1742"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"013590390e415288ed75fd4c1ccc53f9"	0	0	0	0	14	8	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0139593f34e86155dfb3a793160bbf25"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01517d989f73bd25e1378708cdb56dbf"	0	0	0	0	0	0	0	0	4	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1
"016d80fd268de871c71ceea43d23b02c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01891c33364e2c86185f4d6e145271e0"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	17	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01a059d60852df6f251aae76789f7d08"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01aa5dc9c36b4efeab1a04bc91a46df4"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01d2bb6dbbc9bd923899c16cd62ba4c2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02aec08bee4f9a63aabc745dc0af6524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02ca45d0686275701da1f64b266c2717"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03076cce397f946da61bc975ab030b6a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03735bc73d287c7439b0742243a2767e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03cdb57a2928faa34084d191506c6c77"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03cde2d8c843b300ca309c7945475bd0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03d57a82b48b7f70cf984528f9729570"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"04b9acb56f7341399257c1a180317ae2"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"04d671ce7ceef093d60a560d71adc14e"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
